class,name,mmol/g,metacyc_identifier
Cofactors,adenosylcobalamine,6.30E-08,ADENOSYLCOBALAMIN
Cofactors,Ubiquinol-8 ,0.00022,Ubiquinols
Cofactors,coenzyme-A ,0.0003386667,CO-A
Cofactors,FMN,0.00022,FMN
Cofactors,10-Formyltetrahydrofolate,0.000221,10-FORMYL-THF
Cofactors,FAD ,0.000221,FAD
Cofactors,Glutathione,0.00022,GLUTATHIONE
Cofactors,2-Octaprenyl-6-hydroxyphenol,0.000223,2-OCTAPRENYLPHENOL
Cofactors,510-Methylenetetrahydrofolate,0.000223,METHYLENE-THF
Cofactors,Pyridoxal 5-phosphate,0.000223,PYRIDOXAL_PHOSPHATE
Cofactors,S-Adenosyl-L-methionine,0.000221,S-ADENOSYLMETHIONINE
Cofactors,Siroheme,0.000223,SIROHEME
Cofactors,Tetrahydrofolate,0.000223,THF
Cofactors,Menaquinol 8,0.0001,Menaquinols
Cofactors,Protoheme,0.00022,PROTOHEME
Peptidoglycan,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-26-diaminopimeloyl-D-alanyl-D-alanine,0.1,C5
Peptidoglycan,Undecaprenyl diphosphate,5.50E-05,CPD-9649
Peptidoglycan,Two disacharide linked murein units pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain),0.013892,CPD0-2278
Peptidoglycan,Peptidoglycan 1,0.0076753036,C3 
Peptidoglycan,Peptidoglycan 2,0.0076753036,CPD-17985
Peptidoglycan,Peptidoglycan 3,0.0076753036,CPD0-2579
Peptidoglycan,Peptidoglycan 4,0.0076753036,CPD-17986
Peptidoglycan,Peptidoglycan 5,0.0076753036,CPD-18809
Peptidoglycan,Peptidoglycan 6,0.0076753036,CPD-17987
Peptidoglycan,Peptidoglycan 7,0.0076753036,CPD-17988
Peptidoglycan,Glycerol teichoic acid  n45   unlinked  D ala substituted C286H612N47O328P46,0.0016735,Gro-P-Teichoic-peptidoglycan
Peptidoglycan,Glycerol teichoic acid  n45   unlinked  glucose substituted C421H749N2O464P46,0.0014095,Minor-Teichoic-Bacillus-peptidoglycan
Cell_wall,Lipoteichoic acid  n24   linked  D alanine substituted C19036H39872N2400O18300P2400,5.00E-05,Type-I-LTA
Cell_wall,Lipoteichoic acid  n24   linked  glucose substituted C26236H47072O25500P2400,5.00E-05,Type-IV-LTA
Cell_wall,KDO(2)-lipid IV(A),0.004864,KDO2-LIPID-IVA 
Cell_wall,KDO(2)-lipid IV(A),0.004864,CPD-12903 
Cell_wall,KDO(2)-lipid IV(A),0.004864,L-ARA4N-MODIFIED-KDO2-LIPID-A 
Cell_wall,KDO(2)-lipid IV(A),0.004864,KDO2-LAUROYL-LIPID-IVA
RNA,ATP,0.0413333333,ATP
RNA,UTP ,0.06752575,UTP
RNA,CTP ,0.0678765,CTP
RNA,GTP ,0.08752425,GTP
DNA,dATP ,0.00984175,DATP
DNA,dTTP ,0.00984175,TTP
DNA,dCTP ,0.0112544375,DCTP
DNA,dGTP,0.0117544375,DGTP
Ectoine,Ectoine,0.106,ECTOINE
Carbohydrates,Mannose,0.002,GDP-MANNOSE
Carbohydrates,Glycogen,0.448,Glycogens
Carbohydrates,Sucrose ,0.026,SUCROSE
Carbohydrates,Ribose ,0.036,RIBOSE
Carbohydrates,Arabinose ,0.022,D-arabinopyranose 
Carbohydrates,Galactose,0.005,D-Galactopyranose 
